eventURL,title,rankTW,rankLW,name,rounds,avg,totalStrokes,totalAdjustment,totalRounds
t028,BMW Championship,T64,66,Justin Rose,38,70.589,"2,672",10.371,38
t028,BMW Championship,T64,77,Mackenzie Hughes,70,70.589,"4,918",23.195,70
t028,BMW Championship,66,67,Tom Hoge,74,70.605,"5,203",21.775,74
t028,BMW Championship,67,68,Nick Taylor,59,70.607,"4,150",15.804,59
t028,BMW Championship,68,69,Danny Lee,69,70.609,"4,843",28.990,69
t028,BMW Championship,69,T70,Adam Hadwin,65,70.610,"4,557",32.675,65
t028,BMW Championship,70,73,Jim Furyk,39,70.616,"2,739",15.040,39
t028,BMW Championship,71,74,Jason Kokrak,62,70.617,"4,353",25.284,62
t028,BMW Championship,72,75,Dylan Frittelli,82,70.630,"5,770",21.698,82
t028,BMW Championship,73,76,Cameron Davis,62,70.639,"4,056",41.064,58
t028,BMW Championship,74,72,Cameron Smith,64,70.643,"4,497",24.166,64
t028,BMW Championship,75,78,Ryan Moore,48,70.707,"3,090",21.114,44
t028,BMW Championship,76,79,Charles Howell III,69,70.716,"4,844",35.399,69
t028,BMW Championship,77,80,Matthew Wolff,74,70.726,"5,211",22.736,74
t028,BMW Championship,78,81,Scott Stallings,71,70.727,"4,671",67.709,67
t028,BMW Championship,79,82,Brandt Snedeker,53,70.731,"3,706",42.752,53
t028,BMW Championship,80,83,Adam Schenk,78,70.732,"5,165",69.197,74
t028,BMW Championship,81,84,Kevin Streelman,73,70.738,"5,141",22.885,73
t028,BMW Championship,82,85,Russell Knox,67,70.760,"4,411",46.882,63
t028,BMW Championship,83,87,Sam Burns,60,70.778,"4,073",32.133,58
t028,BMW Championship,84,88,Rory Sabbatini,66,70.779,"4,645",26.437,66
t028,BMW Championship,85,89,Maverick McNealy,80,70.790,"5,329",51.030,76
t028,BMW Championship,86,90,Henrik Norlander,74,70.798,"5,190",49.076,74
t028,BMW Championship,87,91,Bronson Burgoon,55,70.809,"3,701",51.870,53
t028,BMW Championship,88,92,Matt Jones,76,70.817,"5,344",38.078,76
t028,BMW Championship,89,93,Vaughn Taylor,61,70.827,"4,299",21.434,61
t028,BMW Championship,90,94,Tyler Duncan,83,70.840,"5,836",43.705,83
t028,BMW Championship,91,95,Harry Higgs,83,70.852,"5,844",36.707,83
t028,BMW Championship,92,96,Pat Perez,59,70.853,"3,855",41.925,55
t028,BMW Championship,93,98,Jordan Spieth,62,70.856,"4,367",26.085,62
t028,BMW Championship,94,99,Keegan Bradley,68,70.861,"4,801",17.560,68
t028,BMW Championship,95,97,Cameron Champ,70,70.868,"4,929",31.787,70
t028,BMW Championship,96,100,Patrick Rodgers,95,70.869,"6,398",51.051,91
t028,BMW Championship,97,101,Jhonattan Vegas,52,70.883,"3,505",39.158,50
t028,BMW Championship,98,102,Brian Stuard,83,70.885,"5,679",62.709,81
t028,BMW Championship,99,103,Aaron Wise,49,70.899,"3,162",28.455,45
t028,BMW Championship,100,104,Nick Watney,46,70.902,"3,094",25.689,44
t028,BMW Championship,101,105,Tim Wilkinson,50,70.936,"3,224",39.064,46
t028,BMW Championship,102,106,Max Homa,70,70.942,"4,939",26.961,70
t028,BMW Championship,103,107,Seamus Power,36,70.962,"2,239",31.770,32
t028,BMW Championship,104,108,Emiliano Grillo,69,70.963,"4,567",45.589,65
t028,BMW Championship,105,109,Kyle Stanley,57,71.008,"3,717",46.418,53
t028,BMW Championship,106,110,Phil Mickelson,51,71.009,"3,599",22.481,51
t028,BMW Championship,107,111,Chez Reavie,77,71.043,"5,428",42.307,77
t028,BMW Championship,108,112,Luke List,69,71.048,"4,860",42.338,69
t028,BMW Championship,109,113,Xinjun Zhang,77,71.058,"5,436",35.452,77
t028,BMW Championship,110,114,Charley Hoffman,63,71.060,"4,149",43.531,59
t028,BMW Championship,111,115,Michael Thompson,62,71.061,"4,371",34.753,62
t028,BMW Championship,112,116,Cameron Percy,49,71.073,"3,162",36.263,45
t028,BMW Championship,113,117,Sam Ryder,74,71.091,"4,922",54.379,70
t028,BMW Championship,114,118,Ryan Armour,60,71.092,"4,068",55.344,58
t028,BMW Championship,115,119,Mark Anderson,51,71.095,"3,319",22.480,47
t028,BMW Championship,116,120,Sepp Straka,70,71.102,"4,943",34.132,70
t028,BMW Championship,117,121,Branden Grace,43,71.108,"2,880",35.423,41
t028,BMW Championship,118,122,Lucas Glover,67,71.120,"4,724",41.051,67
t028,BMW Championship,119,124,Jason Dufner,62,71.159,"4,390",21.855,62
t028,BMW Championship,120,125,Troy Merritt,72,71.165,"4,791",48.244,68
